,Rewards,Epsilon
669,83.56666667,0.517098337
670,84.36547619,0.516591492
671,56.93571429,0.516085154
672,64.68333333,0.515579322
673,90.53333333,0.515073995
674,78.38333333,0.514569173
675,69.98333333,0.514064856
676,82.48333333,0.513561043
677,92,0.513057734
678,62.53452381,0.512554928
679,86.01666667,0.512052624
680,58.43809524,0.511550822
681,62.93928571,0.511049522
682,77.68333333,0.510548723
683,60.87619048,0.510048425
684,69.2,0.509548626
685,78.65,0.509049327
686,64.96666667,0.508550527
687,57.01666667,0.508052226
688,84.86666667,0.507554423
689,80.68333333,0.507057117
690,58.2452381,0.506560308
691,62.86666667,0.506063996
692,69.78333333,0.50556818
693,74.48333333,0.50507286
694,62.26666667,0.504578034
695,69.7,0.504083704
696,58.28333333,0.503589867
697,66.98333333,0.503096524
698,58.29761905,0.502603674
699,66.5,0.502111316
700,73.83333333,0.501619451
701,86.98333333,0.501128077
702,75.51666667,0.500637194
703,74.38333333,0.500146802
704,65.06666667,0.499656901
705,70.2,0.499167489
706,64.91666667,0.498678566
707,68.5,0.498190131
708,75.4,0.497702185
709,56.31428571,0.497214727
710,98.5,0.496727755
711,58.33333333,0.496241271
712,83.70952381,0.495755273
713,73.01666667,0.49526976
714,99.66666667,0.494784733
715,65.1,0.494300191
716,55.94285714,0.493816133
717,67.81666667,0.493332558
718,70.7,0.492849467
719,62.52857143,0.492366859
720,71.55,0.491884733
721,75.75,0.49140309
722,78.81666667,0.490921927
723,80.33333333,0.490441246
724,63.6,0.489961044
725,97.06666667,0.489481323
726,79.35,0.489002082
727,60.9,0.488523319
728,74.48333333,0.488045035
729,57.21190476,0.487567229
730,97.23333333,0.4870899
731,71.73333333,0.486613049
732,73.48095238,0.486136674
733,75.1,0.485660775
734,68.13809524,0.485185352
735,57.02857143,0.484710404
736,72.57619048,0.484235931
737,58.66666667,0.483761932
738,83.2,0.483288407
739,57.7,0.482815355
740,85.45,0.482342776
741,65.35,0.48187067
742,61.08333333,0.481399035
743,75.75,0.480927871
744,55.55,0.480457179
745,59.16666667,0.479986957
746,54.3452381,0.479517205
747,71.56666667,0.479047922
748,67.41666667,0.478579109
749,58.33333333,0.478110764
750,85.63333333,0.477642887
751,70.17619048,0.477175478
752,60.08095238,0.476708536
753,64.16666667,0.476242061
754,78.49166667,0.475776052
755,55.82619048,0.475310509
756,60.85793651,0.474845431
757,77.66666667,0.474380818
758,98.51666667,0.473916669
759,69.76666667,0.473452984
760,65.81666667,0.472989763
761,69.8,0.472527004
762,75.86666667,0.472064709
763,58.33333333,0.471602875
764,62.7,0.471141503
765,87.15,0.470680592
766,73.88333333,0.470220141
767,65.2,0.469760151
768,57.96666667,0.469300621
769,57.35,0.46884155
770,63.85,0.468382938
771,61.5,0.467924784
772,61.74761905,0.467467088
773,63.6,0.467009849
774,57.57142857,0.466553068
775,62.40912698,0.466096743
776,65.26190476,0.465640874
777,74.71666667,0.465185461
778,58.63333333,0.464730503
779,72.43333333,0.464276
780,66.83333333,0.463821951
781,101.1,0.463368356
782,77.26666667,0.462915214
783,71.01666667,0.462462525
784,57.63333333,0.462010289
785,74.65,0.461558505
786,61.61666667,0.461107172
787,66.15,0.46065629
788,60.38333333,0.460205859
789,84.45,0.459755878
790,65.25,0.459306347
791,56.04761905,0.458857266
792,66.18333333,0.458408633
793,73.58333333,0.457960448
794,56.74166667,0.457512712
